index,Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month,Day,Location,Region,Is_northeast,Is_midwest,Is_territory,Is_south,Is_west,EV_Density,Days_Since_First_Record,Quarter,County_EV_Mean,State_EV_Mean,Vehicle_Size_Bin,EV_Percent_Bin,BEV_in_West,Winter_EV,EV_Growth_Rate,Market_Growth_Rate,EV_Z_Score,BEV_Percentage,PHEV_Percentage,EV_to_NonEV_Ratio,Dominant_EV_Type,West_BEV
0,2018-01-31,Brevard,FL,Passenger,0,1,1,109,110,0.909090909090909,2018,1,31,"Brevard, FL",South,0,0,0,1,0,0.00909090909090909,365,1,1.13086023729919,3.039365731673768,Small,Low,,1,,,-0.3371456655001677,0.0,0.91,0.009174311926605505,PHEV,0
1,2021-03-31,Pinellas,FL,Passenger,1,1,2,113,115,1.7391304347826086,2021,3,31,"Pinellas, FL",South,0,0,0,1,0,0.017391304347826087,1520,1,1.4124662321385337,3.039365731673768,Small,Medium,,0,,,-0.2585120807511867,0.87,0.87,0.017699115044247787,Equal,0
2,2020-08-31,Shasta,CA,Passenger,1,0,1,36,37,2.7027027027027026,2020,8,31,"Shasta, CA",West,0,0,0,0,1,0.02702702702702703,1308,3,2.9187174368812503,2.3763470968966462,Tiny,High,1,0,,,-0.16722830540552278,2.7,0.0,0.027777777777777776,BEV,1
3,2020-06-30,Bucks,PA,Passenger,1,0,1,24,25,4.0,2020,6,30,"Bucks, PA",Northeast,1,0,0,0,0,0.04,1246,2,4.2382539872658445,10.34305431462151,Tiny,High,,0,,,-0.044329173720628855,4.0,0.0,0.041666666666666664,BEV,0
4,2023-02-28,Snohomish,WA,Passenger,10907,2828,13735,528837,542572,2.531461262284084,2023,2,28,"Snohomish, WA",West,0,0,0,0,1,0.025314612622840838,2219,1,0.6083095886555112,0.49610926478863887,Large,High,10907,13735,,,-0.18345081999779345,2.01,0.52,0.0259720859168326,BEV,1
6,2021-09-30,Rockingham,NH,Passenger,1,0,1,26,27,3.703703703703704,2021,9,30,"Rockingham, NH",Northeast,1,0,0,0,0,0.037037037037037035,1703,3,4.7244010141927655,14.041988616382616,Tiny,High,,0,,,-0.07239872848816631,3.7,0.0,0.038461538461538464,BEV,0
7,2020-07-31,Hawaii,HI,Passenger,1,0,1,61,62,1.6129032258064515,2020,7,31,"Hawaii, HI",West,0,0,0,0,1,0.016129032258064516,1277,3,1.9839907732649078,2.9401021116927435,Tiny,Medium,1,0,,,-0.27047018350103175,1.61,0.0,0.01639344262295082,BEV,1
8,2019-05-31,Lake,FL,Passenger,1,0,1,22,23,4.3478260869565215,2019,5,31,"Lake, FL",South,0,0,0,1,0,0.043478260869565216,850,2,5.764141660025971,3.039365731673768,Tiny,High,,0,,,-0.01137795725438921,4.35,0.0,0.045454545454545456,BEV,0
9,2023-09-30,Columbia,OR,Passenger,1,0,1,13,14,7.142857142857143,2023,9,30,"Columbia, OR",West,0,0,0,0,1,0.07142857142857142,2433,3,0.8666578399650917,1.8125706992340245,Tiny,Very High,1,0,,,0.25340860363503676,7.14,0.0,0.07692307692307693,BEV,1
10,2018-09-30,Beaufort,SC,Passenger,1,0,1,41,42,2.380952380952381,2018,9,30,"Beaufort, SC",South,0,0,0,1,0,0.023809523809523808,607,3,3.160299378041313,3.044068324394799,Tiny,High,,0,,,-0.19770924084324445,2.38,0.0,0.024390243902439025,BEV,0
11,2020-11-30,Montgomery,OH,Passenger,0,1,1,54,55,1.818181818181818,2020,11,30,"Montgomery, OH",Midwest,0,1,0,0,0,0.01818181818181818,1399,4,3.3845748428094966,10.156803262744363,Tiny,Medium,,0,,,-0.25102316791795043,0.0,1.82,0.018518518518518517,PHEV,0
12,2021-02-28,Whitman,WA,Passenger,53,46,99,21818,21917,0.4517041565907742,2021,2,28,"Whitman, WA",West,0,0,0,0,1,0.004517041565907743,1489,1,0.3348648360325567,0.49610926478863887,Large,Low,53,99,,,-0.38047608393513194,0.24,0.21,0.004537537812815106,BEV,1
13,2021-11-30,San Diego,CA,Passenger,20,5,25,2605,2630,0.9505703422053232,2021,11,30,"San Diego, CA",West,0,0,0,0,1,0.009505703422053232,1764,4,0.8217070338575398,2.3763470968966462,Medium,Low,20,0,,,-0.3332161218842491,0.76,0.19,0.009596928982725527,BEV,1
14,2021-01-31,Walla Walla,WA,Truck,0,0,0,13885,13885,0.0,2021,1,31,"Walla Walla, WA",West,0,0,0,0,1,0.0,1461,1,0.3075422502625197,0.49610926478863887,Large,,0,0,,,-0.4232681630823851,0.0,0.0,0.0,Equal,0
15,2021-09-30,Washington,MD,Passenger,2,0,2,11,13,15.384615384615383,2021,9,30,"Washington, MD",South,0,0,0,1,0,0.15384615384615385,1703,3,20.973468523440637,2.4788927006453108,Tiny,Very High,,0,,,1.0341894883089848,15.38,0.0,0.18181818181818182,BEV,0
